a,b,c,d,e
5.1,0.6250
4.9,0.4167
4.7,0.5000
4.6,0.4583
5,0.6667
5.4,0.7917
4.6,0.5833
5,0.5833
4.4,0.3750
4.9,0.4583
5.4,0.7083
4.8,0.5833
4.8,0.4167
4.3,0.4167
5.8,0.8333
5.7,1.0000
5.4,0.7917
5.1,0.6250
5.7,0.7500
5.1,0.7500
5.4,0.5833
5.1,0.7083
4.6,0.6667
5.1,0.5417
4.8,0.5833
5,0.4167
5,0.5833
5.2,0.6250
5.2,0.5833
4.7,0.5000
4.8,0.4583
5.4,0.5833
5.2,0.8750
5.5,0.9167
4.9,0.4583
5,0.5000
5.5,0.6250
4.9,0.4583
4.4,0.4167
5.1,0.5833
5,0.6250
4.5,0.1250
4.4,0.5000
5,0.6250
5.1,0.7500
4.8,0.4167
5.1,0.7500
4.6,0.5000
5.3,0.7083
5,0.5417
7,0.5000
6.4,0.5000
6.9,0.4583
5.5,0.1250
6.5,0.3333
5.7,0.3333
6.3,0.5417
4.9,0.1667
6.6,0.3750
5.2,0.2917
5,0.0000
5.9,0.4167
6,0.0833
6.1,0.3750
5.6,0.3750
6.7,0.4583
5.6,0.4167
5.8,0.2917
6.2,0.0833
5.6,0.2083
5.9,0.5000
6.1,0.3333
6.3,0.2083
6.1,0.3333
6.4,0.3750
6.6,0.4167
6.8,0.3333
6.7,0.4167
6,0.3750
5.7,0.2500
5.5,0.1667
5.5,0.1667
5.8,0.2917
6,0.2917
5.4,0.4167
6,0.5833
6.7,0.4583
6.3,0.1250
5.6,0.4167
5.5,0.2083
5.5,0.2500
6.1,0.4167
5.8,0.2500
5,0.1250
5.6,0.2917
5.7,0.4167
5.7,0.3750
6.2,0.3750
5.1,0.2083
5.7,0.3333
6.3,0.5417
5.8,0.2917
7.1,0.4167
6.3,0.3750
6.5,0.4167
7.6,0.4167
4.9,0.2083
7.3,0.3750
6.7,0.2083
7.2,0.6667
6.5,0.5000
6.4,0.2917
6.8,0.4167
5.7,0.2083
5.8,0.3333
6.4,0.5000
6.5,0.4167
7.7,0.7500
7.7,0.2500
6,0.0833
6.9,0.5000
5.6,0.3333
7.7,0.3333
6.3,0.2917
6.7,0.5417
7.2,0.5000
6.2,0.3333
6.1,0.4167
6.4,0.3333
7.2,0.4167
7.4,0.3333
7.9,0.7500
6.4,0.3333
6.3,0.3333
6.1,0.2500
7.7,0.4167
6.3,0.5833
6.4,0.4583
6,0.4167
6.9,0.4583
6.7,0.4583
6.9,0.4583
5.8,0.2917
6.8,0.5000
6.7,0.5417
6.7,0.4167
6.3,0.2083
6.5,0.4167
6.2,0.5833
5.9,0.4167
